FECHA;FUENTE;VALOR (KPCD)
24/11/2024;Arianna;0
24/11/2024;Ballena;26,531.06
24/11/2024;Bremen Jobo;0
24/11/2024;Bullerengue;18,635.49
24/11/2024;Hocol;34,486.62
24/11/2024;Jobo;132,403.41
24/11/2024;La Creciente;0
24/11/2024;Merecumbé;0
24/11/2024;Planta LNG;166,235
24/11/2024;Sinu-9;8,396.74
24/11/2024;TGI Promigas;0
24/11/2024;Tucurinca;0
24/11/2024;Total;386,688.31
25/11/2024;Tucurinca;1,880.95
25/11/2024;TGI Promigas;0
25/11/2024;Sinu-9;8,021.47
25/11/2024;Planta LNG;185,796
25/11/2024;Merecumbé;0
25/11/2024;La Creciente;0
25/11/2024;Jobo;131,638.19
25/11/2024;Hocol;28,792.53
25/11/2024;Bullerengue;18,486.43
25/11/2024;Bremen Jobo;0
25/11/2024;Ballena;18,530.62
25/11/2024;Arianna;0
25/11/2024;Total;393,146.19
26/11/2024;Arianna;0
26/11/2024;Ballena;21,565.03
26/11/2024;Bremen Jobo;0
26/11/2024;Bullerengue;18,767.91
26/11/2024;Hocol;27,749.10
26/11/2024;Jobo;127,722.38
26/11/2024;La Creciente;0
26/11/2024;Merecumbé;0
26/11/2024;Planta LNG;192,570
26/11/2024;Sinu-9;8,618.57
26/11/2024;TGI Promigas;0
26/11/2024;Tucurinca;2,819.55
26/11/2024;Total;399,812.53
27/11/2024;Tucurinca;0
27/11/2024;TGI Promigas;0
27/11/2024;Sinu-9;8,712.75
27/11/2024;Planta LNG;264,400
27/11/2024;Merecumbé;0
27/11/2024;La Creciente;0
27/11/2024;Jobo;126,944.34
27/11/2024;Hocol;34,690.33
27/11/2024;Bullerengue;18,100.70
27/11/2024;Bremen Jobo;0
27/11/2024;Ballena;19,809.17
27/11/2024;Arianna;0
27/11/2024;Total;472,657.29
28/11/2024;Arianna;0
28/11/2024;Ballena;16,906.29
28/11/2024;Bremen Jobo;0
28/11/2024;Bullerengue;18,657.77
28/11/2024;Hocol;34,397.28
28/11/2024;Jobo;125,232.23
28/11/2024;La Creciente;0
28/11/2024;Merecumbé;0
